cycle,sum(ville collect each.S),sum(ville collect each.I),sum(ville collect each.Le),sum(ville collect each.Lf),sum(ville collect each.T),sum(ville collect each.K),sum(ville collect each.R1),sum(ville collect each.R2)
1541,32.84818033291599,5381.076607226175,2028.9407956962013,1497.2109293462895,58.76492277123583,176.29476831370758,808.0622532558424,241.12796140484338
1542,32.845681097913136,5381.020566765499,2028.1106131168588,1496.0968434249062,58.89580341490209,176.6874102447063,808.0365649436783,241.06426052598164
1543,32.843452785085525,5380.953902956198,2027.2996998310773,1494.9892093620015,59.025775124810814,177.07732537443246,807.9981343848306,241.00173295687773
1544,32.841477631627875,5380.87566800315,2026.5075522568382,1493.888106216537,59.154843063893374,177.46452919168016,807.9483605470842,240.94035501514304
1545,32.83973985111688,5380.785033144077,2025.7336729057906,1492.7936080289892,59.28301227104393,177.84903681313182,807.8885189064249,240.8801052673771
1546,32.838225405662556,5380.681278102031,2024.977570926389,1491.705783932587,59.4102876733035,178.23086301991052,807.8197718392576,240.82096416383482
1547,32.83692180286093,5380.563781409598,2024.2387625703952,1490.624698267349,59.53667409695299,178.610022290859,807.7431781504778,240.76291372297496
1548,32.83581791497967,5380.432011533853,2023.5167715902346,1489.5504106962944,59.66217627760601,178.98652883281807,807.659701809307,240.70593725991444
1549,32.83490381806508,5380.285518736957,2022.8111295740428,1488.482976323267,59.786798869384725,179.3603966081542,807.5702199587432,240.6500191534754
1550,32.834170648891124,5380.123927612564,2022.1213762245948,1487.422445811868,59.91054645325567,179.73163935976703,807.4755302589526,240.5951446471043
1551,32.833610477879745,5379.946930243137,2021.4470595877647,1486.3688655050553,60.033423544595465,180.10027063378647,807.3763576198633,240.5412996794712
1552,32.833216196310545,5379.754279927659,2020.787736235633,1485.3222775450015,60.15543460005149,180.4663038001545,807.2733603736119,240.48847074102983
1553,32.832981416307796,5379.545785433408,2020.1429714089015,1484.2827199928693,60.27658402375654,180.8297520712696,807.1671359332646,240.43664475324243
1554,32.83290038224587,5379.3213057291705,2019.5123391228453,1483.2502269481763,60.39687617295219,181.19062851885656,807.0582259803643,240.38580896755042
1555,32.832967892352535,5379.080745160717,2018.8954222406373,1482.2248286674858,60.51631536307093,181.54894608921282,806.947121220328,240.33595088150776
1556,32.8331792294139,5402.82404903257,2026.291812517534,1486.2065516821713,60.63490587232292,181.90471761696878,809.8342657414669,240.28705816979507
1557,32.83223272074199,5426.803170263216,2035.7209086466744,1490.2017820853116,60.75505644870657,182.2651693461197,811.4333976101369,240.23279701872485
1558,32.83067103558105,5429.907342198406,2036.1388812788155,1491.226770752276,60.87677420068642,182.63032260205924,811.8771413657571,240.17832204927765
1559,32.829675071524136,5430.04508723995,2035.5749022624716,1490.2431479058873,60.997963384510854,182.99389015353256,811.2753384497128,240.12738595958578
1560,32.82872185935749,5430.1241708346215,2035.0244403009274,1489.2665863812738,61.11832736260128,183.35498208780385,810.714209059513,240.07723149262654
1561,32.827837047178456,5430.148240090727,2034.4868974841281,1488.2971106937098,61.23786616565959,183.71359849697876,810.1906126370316,240.02792374035172
1562,32.82704224018939,5430.1206756035535,2033.9617078066635,1487.3347403213538,61.35658017415412,184.06974052246235,809.7016620944835,239.97951520336332
1563,32.826355482943946,5430.04461207463,2033.4483349491757,1486.379490015886,61.47447009038997,184.4234102711699,809.244703252948,239.93204737273675
1564,32.8257916898865,5429.922957337494,2032.946270239833,1485.4313700921166,61.591536912746285,184.77461073823886,808.817295926023,239.88555213632966
1565,32.82536302937333,5429.758409908631,2032.4550307805014,1484.4903866982256,61.70778191191282,185.12334573573844,808.4171965215066,239.84005302776723
1566,32.82507926587297,5429.5534751742725,2031.9741577235704,1483.5565420681423,61.82320660897038,185.46961982691116,808.0423420430743,239.79556633451247
1567,32.82494806459605,5429.310480316021,2031.5032146865854,1482.6298347574575,61.93781275517198,185.81343826551597,807.6908353824801,239.75210207980922
1568,32.824975262396585,5429.031588071082,2031.0417862929364,1481.7102598641336,62.05160231329183,186.1548069398755,807.3609318008376,239.7096648918175
1569,32.82516510841553,5428.718809416074,2030.5894768278613,1480.7978092351768,62.16457744041993,186.49373232125978,807.0510265050766,239.66825477192785
1570,32.82552047759997,5428.374015256962,2030.145908999947,1479.8924716603447,62.27674047208911,186.83022141626734,806.7596432327064,239.62786777303702
1571,32.82604305992417,5427.998947201716,2029.7107227991642,1478.9942330538531,62.38809390763011,187.1642817228903,806.4854237645984,239.5884965974758
